MES,2012,2013,2014,2015,2016,2017,2018
01 - JAN,88.06%,87.90%,83.36%,86.22%,86.38%,85.30%,88.00%
02 - FEV,68.49%,73.75%,71.63%,68.88%,76.08%,74.34%,80.00%
03 - MAR,72.08%,76.79%,78.00%,68.82%,73.02%,74.61%,81.00%
04 - ABR,65.59%,67.23%,71.31%,62.54%,63.19%,64.13%,71.00%
05 - MAI,53.03%,61.70%,57.00%,56.55%,57.12%,56.83%,64.00%
06 - JUN,55.81%,55.79%,41.75%,47.06%,48.77%,53.30%,55.00%
07 - JUL,71.65%,79.38%,60.32%,71.96%,76.22%,71.89%,76.00%
08 - AGO,57.96%,63.68%,57.59%,59.31%,64.14%,64.04%,66.00%
09 - SET,66.01%,67.13%,63.64%,65.11%,67.00%,70.14%,77.00%
10 - OUT,68.48%,77.53%,69.90%,74.32%,72.71%,75.85%,
11 - NOV,74.05%,73.06%,70.46%,65.11%,70.90%,76.00%,
12 - DEZ,73.78%,75.24%,72.48%,73.72%,74.76%,78.00%,
